sample,strain,timepoint,condition,replicate,raw_reads,assembled_reads
A1,SC5314,TP0,YPD,1,34855720,34740053
A2,SC5314,TP0,YPD,2,27227091,27124433
A3,SC5314,TP0,YPD,3,43354205,43214437
A4,SC5314,TP0,YPD,4,27173675,27083054
B1,SC5314,TP3,YPD,1,33179714,33083099
B2,SC5314,TP3,YPD,2,39333836,39221601
B3,SC5314,TP3,YPD,3,43784521,43659502
B4,SC5314,TP3,YPD,4,27086776,27003331
C1,SC5314,TP3,Low_FLZ,1,48697944,48562704
C2,SC5314,TP3,Low_FLZ,2,41691656,41572530
C3,SC5314,TP3,Low_FLZ,3,56205072,56036556
C4,SC5314,TP3,Low_FLZ,4,30646014,30558836
D1,SC5314,TP3,High_FLZ,1,36159097,36060926
D2,SC5314,TP3,High_FLZ,2,34541832,34426909
D3,SC5314,TP3,High_FLZ,3,36413637,36304037
D4,SC5314,TP3,High_FLZ,4,29014090,28938512
