	AAB_ddlogFC	AAB_FDR	ABB_ddlogFC	ABB_FDR	is_ChrR	sig_either
C4_01070W_B	2.26113822075925	2.4924357232211402e-09	2.17855145951682	2.5696677744179804e-09	False	True
C6_04190C_A	2.06029067279561	2.4924357232211402e-09	1.90220962727975	8.40266645654982e-09	False	True
C1_07330W_A	1.63061075291635	2.4924357232211402e-09	1.82079532225449	6.37077621554864e-10	False	True
C1_07330W_B	1.65666334533812	2.4924357232211402e-09	1.86548705742047	6.37077621554864e-10	False	True
C4_01070W_A	2.32338777525187	6.2502782686445905e-09	2.16734154653641	1.16487011387834e-08	False	True
CR_00150C_A	1.19117978790122	6.2502782686445905e-09	0.990715573037265	5.10242299378839e-08	True	True
CR_00150C_B	1.22375639021781	1.29529351009153e-08	0.987394876571465	1.74477391669267e-07	True	True
C1_05140W_B	1.09124804394408	1.40519913708092e-08	0.878885649261145	2.07988533882041e-07	False	True
C4_04080C_A	1.28216152745242	1.56290187186681e-08	1.03274637001111	2.59928342256295e-07	False	True
C1_08610C_A	0.849317528205737	1.080993399771e-07	0.791815655538722	1.67393358925302e-07	False	True
C1_05140W_A	0.985308934056755	1.31644379146095e-07	0.77704804831555	1.72281665643666e-06	False	True
C1_05520W_A	-1.07929917166984	1.42648243401541e-07	-1.22786820396301	1.88665354716152e-08	False	True
C2_09140C_A	1.14906748896036	1.42648243401541e-07	1.34168900095805	1.49840712236617e-08	False	True
C1_09150W_B	1.35691101178044	1.42648243401541e-07	0.846208580123955	3.01156025098759e-05	False	True
C2_01980C_A	-1.18585157457783	1.42648243401541e-07	-0.573419044360452	0.0004612321487937	False	True
C2_09140C_B	1.21584082364297	1.42648243401541e-07	1.3606214694525	2.26357297105287e-08	False	True
C4_05780C_A	-1.1796247207007	1.65590450516568e-07	-1.01393371429587	1.43743695672733e-06	False	True
C4_04080C_B	1.58420358050962	1.94269502797e-07	1.39958439926958	8.53298463815746e-07	False	True
C3_04640W_A	0.673867141559314	1.94269502797e-07	0.743125614862095	4.0019616286424e-08	False	True
C1_10550C_B	1.09729961815999	1.98477927754564e-07	0.861285399380066	3.60579567918133e-06	False	True
C3_00810C_B	1.24842578818865	2.03985094986088e-07	0.982813158853691	3.53567255617315e-06	False	True
C4_05940W_B	-1.41205574754123	2.15078062079704e-07	-1.55968433704288	4.79594046004401e-08	False	True
CR_02360W_B	1.11563905882925	2.31692645634544e-07	0.884474045282843	3.43966957849472e-06	True	True
C1_02730W_B	-1.43395677419442	2.33454027526905e-07	-1.6115849492767	4.79594046004401e-08	False	True
CR_00200W_B	1.30881606494704	2.33454027526905e-07	1.05525752812509	3.31666659158373e-06	True	True
CR_00330C_B	0.911553272820808	2.45869971931805e-07	0.655724128588116	1.29773801991114e-05	True	True
C1_06000W_A	-1.18459032111762	2.45869971931805e-07	-1.38766819909546	3.570920301314e-08	False	True
C3_00810C_A	1.17533657048792	2.45869971931805e-07	0.928125743203639	4.58691724089281e-06	False	True
CR_02020C_B	1.62378199236178	2.45869971931805e-07	1.31534142354608	3.2766229558446e-06	True	True
C6_04190C_B	1.67174706081925	2.51644566298301e-07	1.3696368528871	4.22567978308077e-06	False	True
C5_02000C_A	0.91048418232988	2.51644566298301e-07	0.624108644144396	2.45902774669111e-05	False	True
CR_00200W_A	1.29757992076243	2.63832851225199e-07	1.03106929601072	4.69985566800692e-06	True	True
C4_00200C_B	0.868307503333887	2.63832851225199e-07	0.998306410728853	4.32013337153538e-08	False	True
C4_00200C_A	0.864755066724467	2.63832851225199e-07	1.02029804601328	3.27805380622182e-08	False	True
C1_05520W_B	-1.06169489360117	3.84791742970136e-07	-1.31213170266162	2.80174264573471e-08	False	True
C5_02000C_B	0.841583032279116	4.73807143589382e-07	0.548540327341068	6.780243776213e-05	False	True
C6_02100W_A	1.11309686120491	6.67202595932667e-07	0.95940314899429	3.74299487903594e-06	False	True
C3_06940W_A	0.637743790241042	9.09073977753407e-07	0.548181502111914	4.97575783187198e-06	False	True
CR_02020C_A	1.17088821529878	1.13782184450026e-06	0.629387808763145	0.000840010113872	True	True
CR_02360W_A	1.11292858652924	1.19343316711725e-06	0.862189875630483	2.19064060343885e-05	True	True
C3_05050W_A	1.30864122708599	1.20688446136958e-06	1.27122507375399	2.2712028265959e-06	False	True
CR_00330C_A	0.931271954243241	1.22689343745635e-06	0.696029704125492	3.26351664886445e-05	True	True
C1_05910W_B	0.732682494044723	1.23610541479748e-06	0.467755569104968	0.000174097385717	False	True
C4_04050C_A	0.862508545430927	1.40907007266116e-06	1.28085204098807	1.09191920422935e-08	False	True
C1_00270W_B	-0.92500026057694	1.46661927761933e-06	-0.954935558211675	1.17910050394895e-06	False	True
C1_13430C_B	-0.932428527536475	1.47397997745617e-06	-0.930313336737757	2.01384860554087e-06	False	True
C3_06940W_B	0.649733141592787	1.47569766211235e-06	0.583877735395109	4.86663646579777e-06	False	True
C6_03160C_A	-0.66153659110089	1.51400565639646e-06	-0.579748381624077	6.62247010807423e-06	False	True
C4_04050C_B	0.876121995115001	1.55256234443157e-06	1.30017665867132	1.15698534354178e-08	False	True
C1_08610C_B	0.752623655879188	1.64997214890873e-06	0.76452825582147	1.44437726788938e-06	False	True
C5_03330C_B	0.638169757968646	1.64997214890873e-06	0.682316954743765	9.1428147484548e-07	False	True
C3_04640W_B	0.663056207120809	1.69306299022443e-06	0.701963060017918	9.40923138809612e-07	False	True
C6_03160C_B	-0.71475785816865	1.8320262292382e-06	-0.641672601581149	6.28616023068368e-06	False	True
C1_02340C_B	-1.23073014737475	1.89710741927137e-06	-1.32776838679259	1.03096800217779e-06	False	True
C1_10550C_A	0.962623271947644	1.89710741927137e-06	0.645162681664479	0.0001682106809169	False	True
C1_10170W_A	1.93150679447777	1.899316780118e-06	2.00505262328649	1.0153078605891e-06	False	True
C6_02950C_A	-0.903846121187103	2.0046000747187e-06	-0.942311777068087	1.60565373252837e-06	False	True
C1_10290W_B	0.864021290245027	2.33739272390542e-06	0.482312177963508	0.0010461567857761	False	True
C1_07030C_B	0.660904415934608	2.40500141783771e-06	0.326523083891529	0.003030350989996	False	True
C6_01500C_B	0.917167153554179	2.40666689672078e-06	0.281840063498828	0.0480979373665032	False	True
C7_02280W_B	1.47667457829546	2.69910461788397e-06	1.43919032351656	3.554662671021e-06	False	True
CR_04820W_A	0.677561142649475	2.69910461788397e-06	0.564927429455833	2.13637147902185e-05	True	True
CR_02920C_B	0.732093252166604	2.69910461788397e-06	1.12638330129681	1.16487011387834e-08	True	True
C6_04200C_A	0.826484004594137	2.69910461788397e-06	0.541600940845679	0.0002821113197385	False	True
C1_12850W_B	1.86915146191886	2.8560397549302e-06	1.26121944228254	0.0001870903060902	False	True
CR_00140W_A	-0.745059633647659	3.1059419221305e-06	-0.854573394811461	6.98545685461498e-07	True	True
C1_09020W_B	0.552528103740427	3.12292559243996e-06	0.426756912056595	6.014481074416e-05	False	True
C2_04890C_A	-2.37424965988825	3.62001872012769e-06	-1.48613546300172	0.0006995791369202	False	True
CR_02920C_A	0.624363270888624	3.623190998199e-06	0.815855751406761	1.24140298647508e-07	True	True
C3_05210C_A	-0.576840800496874	3.623190998199e-06	-0.417592620205434	0.0001310068369177	False	True
C6_04380W_B	-0.978331442999242	4.06121014383708e-06	-0.814045171016295	2.97640473334303e-05	False	True
C1_12010C_A	-0.927716536586495	4.08499223193759e-06	-0.883622390063378	8.57213561654741e-06	False	True
CR_01860W_B	1.34217962058075	4.3329608962051e-06	0.814102231612096	0.0005775216935729	True	True
C1_10140C_A	0.638269986421825	4.3329608962051e-06	0.632911720586976	4.75592031129749e-06	False	True
C1_08170C_A	-0.94893799474177	4.50028739576087e-06	-1.06381392445186	1.32255841585277e-06	False	True
C7_02810W_B	0.693119899549262	4.50340284138175e-06	0.896421132731675	1.74477391669267e-07	False	True
C1_02730W_A	-1.32750846387676	4.50340284138175e-06	-1.55470336237447	8.53298463815746e-07	False	True
C3_00600W_A	-1.30612325478139	4.77340966549531e-06	-1.33248681266919	4.69985566800692e-06	False	True
C1_12010C_B	-0.915488385454809	5.08046609394191e-06	-0.839807116778954	1.62607436315683e-05	False	True
C1_02110C_B	1.30948999091889	5.08046609394191e-06	0.989138614417437	0.0001051125251318	False	True
CR_00540C_B	0.749084766386812	5.22237098191863e-06	0.67865649021298	1.50717883353305e-05	True	True
C1_05050C_A	-0.959660947574326	5.58123464667104e-06	-0.999428901856458	3.74299487903594e-06	False	True
C4_02020W_B	0.692024793496646	6.10063561136852e-06	0.510557345710442	0.000163647883285	False	True
C1_02270C_A	0.739812875907674	6.21702194510422e-06	0.778893920955262	4.10985669071831e-06	False	True
C4_02020W_A	0.708668402754231	6.24495463972308e-06	0.546496355856677	0.0001070926060595	False	True
C1_02110C_A	1.20750028216316	6.24495463972308e-06	0.898347011166408	0.0001515358640394	False	True
C4_01010C_A	0.863505978480618	6.95927274583047e-06	0.177250562749094	0.24607432190386	False	True
C7_02810W_A	0.726998879492332	7.78643685118012e-06	0.935346357834589	3.357835792926e-07	False	True
C3_05310W_B	-0.504984240575173	8.15076690265337e-06	-0.51174715334967	6.43755622328332e-06	False	True
C2_04190C_B	-0.817086981677486	8.15076690265337e-06	-0.716612819779427	3.26351664886445e-05	False	True
C6_03770C_A	0.615136759332419	8.17178770028632e-06	0.419834662696267	0.0004295690668759	False	True
C1_02340C_A	-1.13932454903111	8.50466355015201e-06	-1.22967873663326	4.48424228463245e-06	False	True
C2_06170C_B	0.592969226252016	8.74448866020213e-06	0.691890157113904	1.52927752574004e-06	False	True
C7_02280W_A	1.51361019234021	8.74448866020213e-06	1.49462999749747	8.83240406428388e-06	False	True
C3_05210C_B	-0.537758194321472	9.22971487793897e-06	-0.365222065573288	0.0004984404451524	False	True
C1_06340W_A	-1.49203250475759	9.72413989457637e-06	-1.41537544470771	1.63241238656681e-05	False	True
C7_04230W_A	0.90110052464306	9.80014261923405e-06	0.665405449710475	0.000225498540524	False	True
C2_03770C_B	0.627779613462582	9.88736003321387e-06	0.517164943164684	8.2011736976871e-05	False	True
C1_03820W_B	0.707113118574735	1.06030316739928e-05	0.836274023279442	1.5351740303873e-06	False	True
C2_06170C_A	0.563808838525926	1.06030316739928e-05	0.728582033548346	5.21578273579792e-07	False	True
CR_00540C_A	0.75765496249984	1.06030316739928e-05	0.706045431835909	2.1910415573614e-05	True	True
C4_05110C_B	0.757336497432908	1.06030316739928e-05	0.251667844797838	0.0617354577728905	False	True
C3_07280C_B	0.610856604285711	1.08181727212246e-05	0.819458848095442	3.34530572970194e-07	False	True
C1_06000W_B	-1.13571516110522	1.12995801188352e-05	-1.333528414685	2.81967797442234e-06	False	True
CR_03500W_B	0.740545204503692	1.16979016196978e-05	0.643158517322792	4.91730328035163e-05	True	True
C7_04230W_B	0.891467997970424	1.17125203793962e-05	0.671512457606616	0.0002201751659414	False	True
CR_01220W_B	1.26789566510344	1.23013660808863e-05	1.02096910909109	0.0001521431901589	True	True
C4_05940W_A	-1.17973822291875	1.36653778981901e-05	-1.19423173999484	1.17899371040453e-05	False	True
C4_06760W_A	0.609263895330036	1.37871819383522e-05	0.611792490128405	1.17899371040453e-05	False	True
C6_04130C_A	-0.771436302697592	1.41763791533388e-05	-0.919272116342161	1.72281665643666e-06	False	True
CR_09930W_A	-0.628680925156526	1.41931164183746e-05	-0.5724845772833	4.12093407026191e-05	True	True
CR_04870C_A	0.640350340512782	1.41931164183746e-05	0.355907681706794	0.0046845722740291	True	True
C6_03770C_B	0.618216234075699	1.4218815878077e-05	0.454272181168085	0.0003414966441112	False	True
C1_02370C_B	-0.89757024829076	1.44014521612181e-05	-1.17129503606127	9.40923138809612e-07	False	True
C5_04300C_B	0.642824782949914	1.44014521612181e-05	0.765863125977753	1.86509359053843e-06	False	True
CR_07420W_B	0.646445858281326	1.51410959567493e-05	0.612124663522471	2.45902774669111e-05	True	True
C3_02630C_B	-0.553842718708116	1.52420798502122e-05	-0.425985798613957	0.0002333225156406	False	True
C3_05310W_A	-0.49684457260296	1.53356981461054e-05	-0.541950130684433	5.42555431842781e-06	False	True
CR_07220C_A	-1.02526463542717	1.53356981461054e-05	-1.30749510653959	2.40621392902583e-06	True	True
C7_01680C_A	0.723634657704627	1.53356981461054e-05	0.483304775735568	0.0008646228877297	False	True
CR_03500W_A	0.747302897177225	1.72060970877055e-05	0.639007755583481	8.64529074444547e-05	True	True
C6_02100W_B	0.937089344495672	1.72060970877055e-05	0.844309665162388	4.71587489724984e-05	False	True
C4_01010C_B	0.746328488827515	1.75140003763272e-05	0.275647084641789	0.047522691267381	False	True
C4_06910W_A	0.959195807744097	1.75140003763272e-05	0.286939451132982	0.115077027976529	False	True
C1_02270C_B	0.880061423754085	1.77823979067426e-05	0.354521318798591	0.0311187345815842	False	True
C2_03230C_A	0.72298386236387	1.77823979067426e-05	0.85731274735826	2.81967797442234e-06	False	True
C1_09020W_A	0.618700873715066	1.77823979067426e-05	0.614231184500722	2.05888837362e-05	False	True
C3_00600W_B	-1.3676278396528	1.786241740222e-05	-1.26325501950703	4.5370330774127e-05	False	True
C1_10050W_A	-1.20337511863045	1.85407598306633e-05	-1.44158356182409	3.74299487903594e-06	False	True
C2_01980C_B	-0.86725114272866	1.87676294898307e-05	-0.552889021940522	0.0019761970475438	False	True
C6_01990W_A	-1.07075562593153	1.87676294898307e-05	-0.865975732796202	0.000206342585975	False	True
CR_10140W_B	0.609009332636058	1.89987752301012e-05	0.530782494961148	8.64529074444547e-05	True	True
C2_07570W_B	-0.808702048264031	1.91087078905515e-05	-0.687460677522092	0.0001063256185414	False	True
C6_02520W_B	0.699902815521437	2.00141486527193e-05	0.585421742772165	0.0001352838967357	False	True
C6_02520W_A	0.718095564406894	2.02789175674174e-05	0.579910147112569	0.0001875305690157	False	True
CR_08510W_A	-0.900585155852116	2.17603188532462e-05	-1.59134799000795	1.53111145428722e-08	True	True
CR_08690C_B	0.551916077294045	2.20872877356877e-05	0.458409169426179	0.0001592168761029	True	True
C6_04130C_B	-0.771349023596669	2.2219775375215e-05	-0.927838722439806	2.73262668853605e-06	False	True
C2_01750C_B	0.836459886196511	2.24445344691869e-05	0.815935765026642	2.77976907634221e-05	False	True
