# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-p" "-B" "-C" "-M" "--fraction" "-a" "calb_features.gtf" "-o" "counts.txt" "results/A1_S1_STAR/Aligned.sortedByCoord.out.bam" "results/A1_S1_STAR/Aligned.toTranscriptome.out.bam" "results/A2_S2_STAR/Aligned.sortedByCoord.out.bam" "results/A2_S2_STAR/Aligned.toTranscriptome.out.bam" "results/A3_S3_STAR/Aligned.sortedByCoord.out.bam" "results/A3_S3_STAR/Aligned.toTranscriptome.out.bam" "results/B1_S4_STAR/Aligned.sortedByCoord.out.bam" "results/B1_S4_STAR/Aligned.toTranscriptome.out.bam" "results/B2_S5_STAR/Aligned.sortedByCoord.out.bam" "results/B2_S5_STAR/Aligned.toTranscriptome.out.bam" "results/B3_S6_STAR/Aligned.sortedByCoord.out.bam" "results/B3_S6_STAR/Aligned.toTranscriptome.out.bam" "results/C1_S7_STAR/Aligned.sortedByCoord.out.bam" "results/C1_S7_STAR/Aligned.toTranscriptome.out.bam" "results/C2_S8_STAR/Aligned.sortedByCoord.out.bam" "results/C2_S8_STAR/Aligned.toTranscriptome.out.bam" "results/C3_S9_STAR/Aligned.sortedByCoord.out.bam" "results/C3_S9_STAR/Aligned.toTranscriptome.out.bam" "results/D1_S10_STAR/Aligned.sortedByCoord.out.bam" "results/D1_S10_STAR/Aligned.toTranscriptome.out.bam" "results/D2_S11_STAR/Aligned.sortedByCoord.out.bam" "results/D2_S11_STAR/Aligned.toTranscriptome.out.bam" "results/D3_S12_STAR/Aligned.sortedByCoord.out.bam" "results/D3_S12_STAR/Aligned.toTranscriptome.out.bam" "results/E1_S13_STAR/Aligned.sortedByCoord.out.bam" "results/E1_S13_STAR/Aligned.toTranscriptome.out.bam" "results/E2_S14_STAR/Aligned.sortedByCoord.out.bam" "results/E2_S14_STAR/Aligned.toTranscriptome.out.bam" "results/E3_S15_STAR/Aligned.sortedByCoord.out.bam" "results/E3_S15_STAR/Aligned.toTranscriptome.out.bam" "results/F1_S16_STAR/Aligned.sortedByCoord.out.bam" "results/F1_S16_STAR/Aligned.toTranscriptome.out.bam" "results/F2_S17_STAR/Aligned.sortedByCoord.out.bam" "results/F2_S17_STAR/Aligned.toTranscriptome.out.bam" "results/F3_S18_STAR/Aligned.sortedByCoord.out.bam" "results/F3_S18_STAR/Aligned.toTranscriptome.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/A1_S1_STAR/Aligned.sortedByCoord.out.bam	results/A1_S1_STAR/Aligned.toTranscriptome.out.bam	results/A2_S2_STAR/Aligned.sortedByCoord.out.bam	results/A2_S2_STAR/Aligned.toTranscriptome.out.bam	results/A3_S3_STAR/Aligned.sortedByCoord.out.bam	results/A3_S3_STAR/Aligned.toTranscriptome.out.bam	results/B1_S4_STAR/Aligned.sortedByCoord.out.bam	results/B1_S4_STAR/Aligned.toTranscriptome.out.bam	results/B2_S5_STAR/Aligned.sortedByCoord.out.bam	results/B2_S5_STAR/Aligned.toTranscriptome.out.bam	results/B3_S6_STAR/Aligned.sortedByCoord.out.bam	results/B3_S6_STAR/Aligned.toTranscriptome.out.bam	results/C1_S7_STAR/Aligned.sortedByCoord.out.bam	results/C1_S7_STAR/Aligned.toTranscriptome.out.bam	results/C2_S8_STAR/Aligned.sortedByCoord.out.bam	results/C2_S8_STAR/Aligned.toTranscriptome.out.bam	results/C3_S9_STAR/Aligned.sortedByCoord.out.bam	results/C3_S9_STAR/Aligned.toTranscriptome.out.bam	results/D1_S10_STAR/Aligned.sortedByCoord.out.bam	results/D1_S10_STAR/Aligned.toTranscriptome.out.bam	results/D2_S11_STAR/Aligned.sortedByCoord.out.bam	results/D2_S11_STAR/Aligned.toTranscriptome.out.bam	results/D3_S12_STAR/Aligned.sortedByCoord.out.bam	results/D3_S12_STAR/Aligned.toTranscriptome.out.bam	results/E1_S13_STAR/Aligned.sortedByCoord.out.bam	results/E1_S13_STAR/Aligned.toTranscriptome.out.bam	results/E2_S14_STAR/Aligned.sortedByCoord.out.bam	results/E2_S14_STAR/Aligned.toTranscriptome.out.bam	results/E3_S15_STAR/Aligned.sortedByCoord.out.bam	results/E3_S15_STAR/Aligned.toTranscriptome.out.bam	results/F1_S16_STAR/Aligned.sortedByCoord.out.bam	results/F1_S16_STAR/Aligned.toTranscriptome.out.bam	results/F2_S17_STAR/Aligned.sortedByCoord.out.bam	results/F2_S17_STAR/Aligned.toTranscriptome.out.bam	results/F3_S18_STAR/Aligned.sortedByCoord.out.bam	results/F3_S18_STAR/Aligned.toTranscriptome.out.bam
C1_00010W_A	Ca22chr1A_C_albicans_SC5314	4059	4397	+	339	226	0	125	0	92.50	0	181.50	0	204.25	0	155.50	0	127	0	84	0	103	0	33.50	0	80	0	61.50	0	60	0	81	0	32.50	0	39	0	53	0	33	0
C1_00020C_A	Ca22chr1A_C_albicans_SC5314	4409	4720	-	312	453.50	0	342.83	0	307	0	524.50	0	443.50	0	467.17	0	309.25	0	210.33	0	331.33	0	474	0	445.83	0	493.50	0	505	0	315	0	332	0	276.50	0	389.83	0	321	0
C1_00030C_A	Ca22chr1A_C_albicans_SC5314	8597	8908	-	312	97.08	0	139.50	0	79.83	0	193.33	0	170.17	0	144.50	0	99.25	0	106.33	0	103.58	0	274.50	0	320.42	0	436.83	0	391.33	0	239.54	0	261.23	0	225.00	0	355.33	0	244.50	0
C1_00040W_A	Ca22chr1A_C_albicans_SC5314	10718	11485	+	768	630.17	0	743.10	0	573.25	0	991.06	0	1025.05	0	553.88	0	444.02	0	548.32	0	582.48	0	483.13	0	748.99	0	630.51	0	547.73	0	514.99	0	512.60	0	605.63	0	713.36	0	350.30	0
C1_00050C_A	Ca22chr1A_C_albicans_SC5314	11648	11995	-	348	79.50	0	94	0	76.50	0	166.12	0	146.33	0	109	0	76	0	50.50	0	67.50	0	27	0	43.50	0	36.50	0	37.50	0	41	0	23	0	24	0	33	0	14.50	0
C1_00060W_A	Ca22chr1A_C_albicans_SC5314	12163	13701	+	1539	35510.92	0	41443.47	0	36385.00	0	47211.28	0	40144.70	0	32660.50	0	24778.83	0	24420.92	0	32402.25	0	23899.58	0	28477.17	0	32165.33	0	32977.58	0	20362.67	0	21173	0	17365.50	0	24940.92	0	21820.25	0
C1_00070W_A	Ca22chr1A_C_albicans_SC5314;Ca22chr1A_C_albicans_SC5314	13778;13868	13816;14917	+;+	1089	15048.50	0	16797.50	0	14704	0	20848.45	0	17419.17	0	14222.75	0	10051.09	0	10353.50	0	13561.17	0	9038.88	0	10810.29	0	12339.75	0	12012.75	0	7650.50	0	8341.75	0	6152.75	0	8504.50	0	7282.50	0
C1_00080C_A	Ca22chr1A_C_albicans_SC5314	14910	15761	-	852	1444	0	1545	0	1252.25	0	1634.58	0	1346	0	1267	0	791.50	0	865	0	994	0	3038	0	3389.50	0	3952.67	0	2826.50	0	1770.67	0	1980.50	0	1396	0	2181.50	0	1824.83	0
C1_00090W_A	Ca22chr1A_C_albicans_SC5314	15595	16116	+	522	729	0	870.50	0	670.50	0	825	0	722.50	0	627	0	496.50	0	402	0	539.50	0	1321	0	1511	0	1686.25	0	1354.25	0	1000	0	975	0	656.25	0	1029.50	0	828.25	0
C1_00100C_A	Ca22chr1A_C_albicans_SC5314	16600	17328	-	729	1412	0	1636.50	0	1359.25	0	1596.75	0	1415.50	0	1045.58	0	775.71	0	802.25	0	995.50	0	2440.50	0	2799.75	0	3127.50	0	2544.25	0	1679.17	0	1785	0	1211.50	0	1851.57	0	1543	0
C1_00110W_A	Ca22chr1A_C_albicans_SC5314	17338	18960	+	1623	7514.75	0	8608.25	0	7143.25	0	8970.17	0	7484.33	0	6012.96	0	4584.92	0	4677.90	0	5854.50	0	6582.50	0	7695.42	0	8590.25	0	7246.25	0	4658.33	0	4668.33	0	3621	0	5290.25	0	4448.25	0
C1_00120C_A	Ca22chr1A_C_albicans_SC5314	18948	19628	-	681	540	0	556.50	0	430.50	0	650.50	0	580	0	493	0	344	0	357.50	0	426.50	0	747.25	0	708.67	0	935	0	925.50	0	574	0	488	0	437	0	739.25	0	456.50	0
C1_00130C_A	Ca22chr1A_C_albicans_SC5314	19615	21714	-	2100	619	0	833	0	637.50	0	861.75	0	777.50	0	576.50	0	527.25	0	449	0	571.50	0	1139.60	0	1332.70	0	1585.50	0	1241	0	754.50	0	748	0	644.50	0	998.83	0	899.50	0
C1_00140W_A	Ca22chr1A_C_albicans_SC5314	22270	25326	+	3057	9031.50	0	10823.25	0	8763.18	0	10736.25	0	9104.38	0	7344	0	5506.50	0	5501.25	0	6718.17	0	7989.00	0	8974.25	0	10735.50	0	10598.70	0	6566.75	0	6547.50	0	5326.25	0	7773	0	6678.83	0
C1_00150C_A	Ca22chr1A_C_albicans_SC5314	25381	27249	-	1869	6801.33	0	7167	0	6504.25	0	7508.83	0	6437.25	0	5351	0	4084.33	0	3686.25	0	5377.83	0	7724.83	0	9117.50	0	10786.85	0	10012.59	0	6647.50	0	6605.92	0	4819.75	0	7244.75	0	5931.25	0
C1_00160C_A	Ca22chr1A_C_albicans_SC5314	28286	29488	-	1203	2404.50	0	2217.50	0	1605	0	2057.75	0	1560.17	0	1182.50	0	983.75	0	1075.50	0	1186.75	0	1045	0	1009.50	0	1288.17	0	898.50	0	572.75	0	586	0	490	0	730.50	0	632.25	0
C1_00170W_A	Ca22chr1A_C_albicans_SC5314	29804	31543	+	1740	2161.50	0	2742	0	2207	0	3712.67	0	3280	0	2484.42	0	2122.83	0	2074.75	0	2561.17	0	761.25	0	798	0	988.50	0	1405	0	918.50	0	969	0	881	0	1352.75	0	1098.75	0
C1_00180W_A	Ca22chr1A_C_albicans_SC5314	31842	32444	+	603	27403.08	0	31988.50	0	23350.83	0	33324.00	0	28588.25	0	21058.17	0	15674.38	0	16133.50	0	19836.79	0	16388	0	17995.37	0	20729.75	0	17598.83	0	11105.25	0	11646	0	8380.67	0	12278.42	0	10646.25	0
C1_00190C_A	Ca22chr1A_C_albicans_SC5314	32680	33318	-	639	423.50	0	663.25	0	553.50	0	644.50	0	495.75	0	435	0	524	0	417	0	602.25	0	867.50	0	1051	0	1307.50	0	1738	0	898.67	0	1088.75	0	1129	0	1474.83	0	1542	0
C1_00200C_A	Ca22chr1A_C_albicans_SC5314	34099	34446	-	348	52.75	0	70.75	0	46.25	0	85.20	0	52.25	0	52.50	0	26	0	30	0	47	0	49	0	39	0	56.92	0	43.25	0	28.25	0	24.88	0	21	0	35.50	0	29	0
C1_00210C_A	Ca22chr1A_C_albicans_SC5314	34525	35679	-	1155	2758.75	0	3290.25	0	2398.25	0	3000.88	0	2516.25	0	2061.75	0	1470	0	1757.75	0	1993.75	0	1883.38	0	2039.33	0	2428	0	2034.25	0	1224.50	0	1405.58	0	1284.25	0	1814.75	0	1477.25	0
C1_00220W_A	Ca22chr1A_C_albicans_SC5314	37851	39485	+	1635	30034.08	0	39037.82	0	32005.61	0	42134.05	0	34565.07	0	27753.83	0	23308.23	0	21799.30	0	27535.08	0	47375.70	0	54725.65	0	65938.07	0	59373.93	0	38675.15	0	35899.83	0	31271.95	0	44624.90	0	34319.67	0
C1_00230C_A	Ca22chr1A_C_albicans_SC5314	40484	41770	-	1287	1604	0	2240.50	0	1794.50	0	2270	0	1863.75	0	1597.08	0	1462	0	1254.50	0	1704.33	0	1243.25	0	1356.75	0	1924.50	0	1848.33	0	1013.50	0	1252.25	0	896	0	1316.75	0	1204.50	0
C1_00240C_A	Ca22chr1A_C_albicans_SC5314	42100	42172	-	73	13	0	26.08	0	21.50	0	51.17	0	32.67	0	21.50	0	39.75	0	15	0	15	0	15	0	15.50	0	7.75	0	10	0	9.25	0	5	0	3.50	0	7	0	3	0
C1_00270W_A	Ca22chr1A_C_albicans_SC5314	42605	43504	+	900	15986.17	0	22284.67	0	16559.83	0	11169.00	0	9830.17	0	7631.17	0	5709.50	0	5543	0	6935.17	0	80380.50	0	96056.33	0	116953.89	0	37523.67	0	25836.17	0	21915.50	0	14384.00	0	23782.57	0	19033.50	0
C1_00280C_A	Ca22chr1A_C_albicans_SC5314	43549	43679	-	131	1.50	0	1.50	0	0	0	1.50	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	1	0	1	0	0	0	0	0	1	0
C1_00290W_A	Ca22chr1A_C_albicans_SC5314	43803	45764	+	1962	12590	0	17777.67	0	13357	0	9149.67	0	7974	0	6228	0	4301.50	0	4471.58	0	5066.50	0	58524.58	0	69817.75	0	84420.29	0	27109.83	0	18096.62	0	15963.15	0	10714.75	0	17324.25	0	13425	0
C1_00310W_A	Ca22chr1A_C_albicans_SC5314	46803	48359	+	1557	3067.50	0	4289.67	0	3530.50	0	4004.50	0	3089.75	0	2657.83	0	2477.50	0	2243.50	0	2910.08	0	1640.50	0	1683	0	2245	0	1795.25	0	1074	0	1170.50	0	1138	0	1739.50	0	1725.75	0
C1_00320W_A	Ca22chr1A_C_albicans_SC5314	48513	49298	+	786	503	0	628.50	0	514.50	0	613.50	0	527	0	383	0	303	0	295.50	0	362.50	0	698.50	0	786.50	0	924.50	0	676	0	475.50	0	428	0	342.50	0	544	0	417.50	0
C1_00330C_A	Ca22chr1A_C_albicans_SC5314	49295	49843	-	549	484.50	0	616.25	0	436	0	492.50	0	418	0	283.50	0	277.50	0	226.50	0	294.50	0	762.50	0	775.50	0	979.50	0	652.50	0	436.50	0	410	0	324.50	0	560.50	0	397.50	0
C1_00340W_A	Ca22chr1A_C_albicans_SC5314	49997	50743	+	747	407.50	0	482	0	363.50	0	405	0	353.50	0	272.75	0	269.50	0	256.50	0	306.50	0	252.50	0	283.50	0	323.50	0	249.50	0	130	0	140.50	0	148	0	186	0	140	0
