comparison,n_down_Chr1,n_down_Chr2,n_down_Chr3,n_down_Chr4,n_down_Chr5,n_down_Chr6,n_down_Chr7,n_down_ChrM,n_down_ChrR,n_up_Chr1,n_up_Chr2,n_up_Chr3,n_up_Chr4,n_up_Chr5,n_up_Chr6,n_up_Chr7,n_up_ChrM,n_up_ChrR
AABvsABB_interaction,0,2,0,0,1,0,0,0,3,0,0,1,4,2,1,0,0,9
B_vs_A,698,561,337,355,217,217,157,1,118,300,176,137,152,134,110,92,21,1367
C_vs_A,808,605,381,387,237,234,199,0,75,410,251,190,207,181,138,125,27,1450
C_vs_B,144,86,79,70,48,39,40,0,530,272,147,119,92,73,84,66,4,627
D_vs_A,1105,747,551,461,427,343,341,2,830,1143,895,676,611,392,366,327,27,845
E_vs_B,1182,741,538,493,459,355,333,2,836,1081,851,655,581,365,356,306,30,835
E_vs_D,950,730,426,411,318,286,248,0,98,270,182,198,152,138,115,112,34,1350
F_vs_C,1145,726,503,462,470,348,331,2,851,1041,839,640,566,358,348,287,30,800
F_vs_D,1014,790,490,452,359,303,288,0,84,360,228,206,171,154,152,107,33,1405
F_vs_E,87,48,44,38,38,38,34,2,501,141,81,62,56,35,56,35,0,561
TriA_interaction,295,193,140,136,124,84,72,0,168,239,196,142,112,76,110,79,8,240
TriB_interaction,331,238,150,164,140,90,94,1,244,241,203,134,111,89,100,82,1,251
